Academic year,Economic Development Region,Institution,International_Domestic,Headcount
2015/2016,Lower Mainland,Douglas College,International,"2,515"
2015/2016,Lower Mainland,Langara College,Domestic,"18,075"
2015/2016,Lower Mainland,Langara College,International,"4,065"
2015/2016,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,125"
2015/2016,Lower Mainland,Kwantlen Polytechnic University,International,"2,290"
2015/2016,Lower Mainland,Vancouver Community College,Domestic,"14,855"
2015/2016,Lower Mainland,Vancouver Community College,International,750
2015/2016,Lower Mainland,University Of The Fraser Valley,Domestic,"13,185"
2015/2016,Lower Mainland,University Of The Fraser Valley,International,"1,115"
2015/2016,Lower Mainland,Capilano University,Domestic,"10,050"
2015/2016,Lower Mainland,Capilano University,International,"1,140"
2015/2016,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"3,535"
2015/2016,Lower Mainland,Emily Carr University Of Art And Design,International,480
2015/2016,Vancouver Island and Coast,University Of Victoria,Domestic,"20,100"
2015/2016,Vancouver Island and Coast,University Of Victoria,International,"4,000"
2015/2016,Vancouver Island and Coast,Camosun College,Domestic,"17,720"
2015/2016,Vancouver Island and Coast,Camosun College,International,"1,630"
2015/2016,Vancouver Island and Coast,Vancouver Island University,Domestic,"12,755"
2015/2016,Vancouver Island and Coast,Vancouver Island University,International,"2,070"
2015/2016,Vancouver Island and Coast,North Island College,Domestic,"8,025"
2015/2016,Vancouver Island and Coast,North Island College,International,350
2015/2016,Vancouver Island and Coast,Royal Roads University,Domestic,"3,565"
2015/2016,Vancouver Island and Coast,Royal Roads University,International,595
2015/2016,Thompson Okanagan,Thompson Rivers University,Domestic,"27,190"
2015/2016,Thompson Okanagan,Thompson Rivers University,International,"3,210"
2015/2016,Thompson Okanagan,Okanagan College,Domestic,"18,580"
2015/2016,Thompson Okanagan,Okanagan College,International,"1,080"
2015/2016,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,520"
2015/2016,Thompson Okanagan,University Of British Columbia Okanagan,International,"1,095"
2015/2016,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,285"
2015/2016,Thompson Okanagan,Nicola Valley Institute Of Technology,International,*
2015/2016,Cariboo,College Of New Caledonia,Domestic,"7,965"
2015/2016,Cariboo,College Of New Caledonia,International,515
2015/2016,Cariboo,University Of Northern British Columbia,Domestic,"3,240"
2015/2016,Cariboo,University Of Northern British Columbia,International,350
2015/2016,Kootenay,Selkirk College,Domestic,"11,765"
2015/2016,Kootenay,Selkirk College,International,810
2015/2016,Kootenay,College Of The Rockies,Domestic,"9,490"
2015/2016,Kootenay,College Of The Rockies,International,385
2015/2016,North,Northern Lights College,Domestic,"5,550"
2015/2016,North,Northern Lights College,International,505
2015/2016,North,Coast Mountain College,Domestic,"4,690"
2015/2016,North,Coast Mountain College,International,15
2016/2017,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,710"
2016/2017,Lower Mainland,University Of British Columbia Vancouver,International,"13,540"
2016/2017,Lower Mainland,British Columbia Institute Of Technology,Domestic,"41,540"
2016/2017,Lower Mainland,British Columbia Institute Of Technology,International,"4,265"
2016/2017,Lower Mainland,Simon Fraser University,Domestic,"26,680"
2016/2017,Lower Mainland,Simon Fraser University,International,"7,400"
2016/2017,Lower Mainland,Justice Institute Of British Columbia,Domestic,"25,370"
2016/2017,Lower Mainland,Justice Institute Of British Columbia,International,615
2016/2017,Lower Mainland,Douglas College,Domestic,"21,305"
2016/2017,Lower Mainland,Douglas College,International,"3,070"
2016/2017,Lower Mainland,Langara College,Domestic,"16,940"
2016/2017,Lower Mainland,Langara College,International,"5,985"
2016/2017,Lower Mainland,Kwantlen Polytechnic University,Domestic,"16,645"
2016/2017,Lower Mainland,Kwantlen Polytechnic University,International,"3,185"
2016/2017,Lower Mainland,University Of The Fraser Valley,Domestic,"13,190"
2016/2017,Lower Mainland,University Of The Fraser Valley,International,"1,500"
2016/2017,Lower Mainland,Vancouver Community College,Domestic,"13,785"
2016/2017,Lower Mainland,Vancouver Community College,International,905
2016/2017,Lower Mainland,Capilano University,Domestic,"8,410"
2016/2017,Lower Mainland,Capilano University,International,"1,410"
2016/2017,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"3,355"
2016/2017,Lower Mainland,Emily Carr University Of Art And Design,International,540
2016/2017,Vancouver Island and Coast,University Of Victoria,Domestic,"20,065"
2016/2017,Vancouver Island and Coast,University Of Victoria,International,"4,080"
2016/2017,Vancouver Island and Coast,Camosun College,Domestic,"17,480"
2016/2017,Vancouver Island and Coast,Camosun College,International,"1,990"
2016/2017,Vancouver Island and Coast,Vancouver Island University,Domestic,"12,720"
2016/2017,Vancouver Island and Coast,Vancouver Island University,International,"2,075"
2016/2017,Vancouver Island and Coast,North Island College,Domestic,"7,685"
2016/2017,Vancouver Island and Coast,North Island College,International,370
2016/2017,Vancouver Island and Coast,Royal Roads University,Domestic,"3,720"
2016/2017,Vancouver Island and Coast,Royal Roads University,International,605
2016/2017,Thompson Okanagan,Thompson Rivers University,Domestic,"28,010"
2016/2017,Thompson Okanagan,Thompson Rivers University,International,"3,930"
2016/2017,Thompson Okanagan,Okanagan College,Domestic,"19,115"
2016/2017,Thompson Okanagan,Okanagan College,International,"1,485"
2016/2017,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,665"
2016/2017,Thompson Okanagan,University Of British Columbia Okanagan,International,"1,275"
2016/2017,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,220"
2016/2017,Thompson Okanagan,Nicola Valley Institute Of Technology,International,*
2016/2017,Cariboo,College Of New Caledonia,Domestic,"7,240"
2016/2017,Cariboo,College Of New Caledonia,International,925
2016/2017,Cariboo,University Of Northern British Columbia,Domestic,"3,415"
